	[psi_1, psi2]	[ssx,ssy, esx,esy]	sampled prefrence	ER
0	"[[3. 0. 0. 1. 0. 0.]
 [3. 0. 0. 0. 1. 0.]]"	"[[7. 3. 8. 1.]
 [8. 5. 9. 7.]]"	[0, 1]	[-3.1399831435049634, 0.043902049999999804]
1	"[[2. 0. 1. 0. 0. 0.]
 [0. 0. 1. 0. 0. 2.]]"	"[[2. 6. 3. 6.]
 [2. 6. 3. 6.]]"	[1, 0]	[-90.63732030840626, -92.63732030840626]
2	"[[2. 0. 1. 0. 0. 0.]
 [2. 0. 1. 1. 0. 0.]]"	"[[5. 3. 6. 3.]
 [4. 2. 6. 3.]]"	[0, 1]	[-92.63632030840625, -90.55608830410975]
3	"[[3. 0. 0. 2. 0. 0.]
 [1. 0. 0. 0. 0. 2.]]"	"[[5. 1. 5. 2.]
 [5. 1. 7. 0.]]"	[1, 0]	[-0.9604043160118962, -4.953425281046876]
4	"[[3. 0. 0. 0. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[5. 7. 5. 6.]
 [5. 7. 5. 8.]]"	[0, 1]	[-4.04480929280205, -1.9541448520499998]
5	"[[2. 1. 0. 0. 0. 0.]
 [0. 1. 0. 0. 0. 2.]]"	"[[9. 9. 8. 9.]
 [9. 7. 8. 9.]]"	[1, 0]	[-2.0, -2.9000500000000002]
6	"[[2. 0. 1. 0. 0. 0.]
 [2. 0. 1. 0. 0. 0.]]"	"[[6. 6. 3. 6.]
 [1. 5. 3. 6.]]"	[0, 1]	[-96.80929280205001, -88.56307930910876]
7	"[[2. 0. 1. 0. 0. 0.]
 [2. 0. 1. 0. 1. 0.]]"	"[[3. 3. 2. 2.]
 [3. 2. 2. 2.]]"	[1, 0]	[-90.55608830410975, -91.51653221580564]
8	"[[0. 0. 0. 0. 0. 3.]
 [3. 0. 0. 0. 0. 0.]]"	"[[6. 0. 4. 0.]
 [0. 5. 1. 3.]]"	[0, 1]	[-8.085044676449968, -2.046501546209811]
9	"[[2. 0. 1. 1. 0. 0.]
 [2. 0. 1. 0. 1. 0.]]"	"[[5. 3. 6. 3.]
 [4. 4. 6. 3.]]"	[1, 0]	[-91.63632030840625, -93.63632030840625]
10	"[[2. 1. 0. 1. 0. 0.]
 [0. 1. 0. 0. 0. 2.]]"	"[[9. 7. 8. 9.]
 [6. 8. 8. 9.]]"	[1, 0]	[0.09994999999999976, -0.9020500000000027]
